,parameter,fraction,units,method_speciation,num_decimal_places,class,class_type,trout_class,spatial_extent,sampling_period,sampling_period_units,strata,type,use,water_type,pollutant,standard_type,narrative,wqs_threshold,statistic,min_n,block,direction,threshold,threshold_units,summarize_rows,summarize_rows_operator,num_rows_to_summarize,aggregate_parameter,wqs_75p_threshold_formula,wqs_75p_threshold
43,ammonia,total,ug/l,as N,1,aa-special,fresh,all,nys,January-December,month,none,health_water-source,source of water supply,pond,TRUE,water_quality_standard,"NH3 + NH4+ as N; 2,000 ug/L",none,none,1,single,<=,2000,ug/l,FALSE,NA,1,NA,NA,65
44,ammonia,total,ug/l,as N,1,aa-special(t),fresh,all,nys,January-December,month,none,health_water-source,source of water supply,pond,TRUE,water_quality_standard,"NH3 + NH4+ as N; 2,000 ug/L",none,none,1,single,<=,2000,ug/l,FALSE,NA,1,NA,NA,65
45,ammonia,total,ug/l,as N,1,aa-special(ts),fresh,all,nys,January-December,month,none,health_water-source,source of water supply,pond,TRUE,water_quality_standard,"NH3 + NH4+ as N; 2,000 ug/L",none,none,1,single,<=,2000,ug/l,FALSE,NA,1,NA,NA,65
46,ammonia,total,ug/l,as N,1,aa-special,fresh,all,great_lakes,January-December,month,none,health_water-source,source of water supply,pond,TRUE,water_quality_standard,"NH3 + NH4+ as N; 2,000 ug/L",none,none,1,single,<=,2000,ug/l,FALSE,NA,1,NA,NA,65
47,ammonia,total,ug/l,as N,1,aa-special(t),fresh,all,great_lakes,January-December,month,none,health_water-source,source of water supply,pond,TRUE,water_quality_standard,"NH3 + NH4+ as N; 2,000 ug/L",none,none,1,single,<=,2000,ug/l,FALSE,NA,1,NA,NA,65
48,ammonia,total,ug/l,as N,1,aa-special(ts),fresh,all,great_lakes,January-December,month,none,health_water-source,source of water supply,pond,TRUE,water_quality_standard,"NH3 + NH4+ as N; 2,000 ug/L",none,none,1,single,<=,2000,ug/l,FALSE,NA,1,NA,NA,65
49,ammonia,total,ug/l,as N,1,c,fresh,non_trout,nys,January-December,month,none,aquatic_chronic,fishing,flow,TRUE,water_quality_standard,Standard is based on pH and temperature,thresh_total_ammonia,none,1,single,<=,NA,mg/l,FALSE,NA,1,NA,NA,NA
50,ammonia,total,ug/l,as N,1,c,fresh,non_trout,great_lakes,January-December,month,none,aquatic_chronic,fishing,flow,TRUE,water_quality_standard,Standard is based on pH and temperature,thresh_total_ammonia,none,1,single,<=,NA,mg/l,FALSE,NA,1,NA,NA,NA
51,ammonia,total,ug/l,as N,1,b,fresh,non_trout,nys,January-December,month,none,aquatic_chronic,fishing,flow,TRUE,water_quality_standard,Standard is based on pH and temperature,thresh_total_ammonia,none,1,single,<=,NA,mg/l,FALSE,NA,1,NA,NA,NA
52,ammonia,total,ug/l,as N,1,b,fresh,non_trout,great_lakes,January-December,month,none,aquatic_chronic,fishing,flow,TRUE,water_quality_standard,Standard is based on pH and temperature,thresh_total_ammonia,none,1,single,<=,NA,mg/l,FALSE,NA,1,NA,NA,NA
53,ammonia,total,ug/l,as N,1,a,fresh,non_trout,nys,January-December,month,none,aquatic_chronic,fishing,flow,TRUE,water_quality_standard,Standard is based on pH and temperature,thresh_total_ammonia,none,1,single,<=,NA,mg/l,FALSE,NA,1,NA,NA,NA
